username,userid,profile_location,created_at,text,retweet_count,source,coordinates
1000th Ghost Toys,4657187143,"Denver, CO",2015-12-26 20:05:19,@johnbeagle Weather turns into Climate Change when it passes over the Mississippi.,0,Twitter Web App,
Rocky Mountain Wild,89330439,"Denver, CO",2009-11-12 00:45:40,Fight climate change by protecting carbon-sequestering prairie! Check out our direct action you can take to help wi… https://t.co/wwqsuA5Smz,2,TweetDeck,
Huzzah 🇪🇺🇺🇸 🏳️‍🌈 🇺🇦,1169389828326060032,"Denver, CO",2019-09-04 23:20:55,"@denverpost Meanwhile, the renewable industry could employ more people, provide cheaper energy, and insurance rates… https://t.co/mRg3SW7vpU",0,Twitter Web App,
John Orr,250402748,"Denver, CO",2011-02-11 01:11:20,"85 News Stories Were Written About Denver’s Record-Breaking December Cold Snap, Only 4 Mentioned Climate Change https://t.co/4YSVYUFghQ",0,Twitter Web App,
SAW,943347866566881280,Denver,2017-12-20 05:10:32,@MikeHudema How are YOU acting on climate change?,0,Twitter Web App,
JamesH,1268575926,"Denver, CO",2013-03-15 02:39:52,I am not a transit professional and I know I’m contributed to the noise of ‘hopes and dreams’ of state/country mass… https://t.co/JJhgcsePnm,0,Twitter for iPhone,
Jason Salzman,110807539,DENVER,2010-02-02 21:04:52,"LOOK UP, CO JOURNALISTS: 85 News Stories Were Written About Denver’s Record-Breaking December Cold Snap, Only 4 Men… https://t.co/uC4wcSldxS",1,Twitter Web App,
phoenix zito,2368498548,"Denver, Co.",2014-03-02 07:39:25,"@JBrezsky @JJKOOLKID @ElijahSchaffer No way you seriously think climate change is a ""scam""",0,Twitter for iPhone,
5280 Magazine,19093936,"Denver, Colorado",2009-01-17 00:16:47,The effects of climate change are already hindering your health. These tips can help you mitigate the impact. https://t.co/Lz6tuj4NLi,2,Hootsuite Inc.,
Dfs414249,1518743323149668352,"Littleton, CO",2022-04-26 00:07:27,@ANTlWEF I understand that the WEF is relavent since that organization promotes solely anti-Western Civilization Gl… https://t.co/P3GANxEKol,0,Twitter for Android,
JD87,1231131800040329216,"Denver, CO",2020-02-22 08:21:31,@DVATW Climate change has hit her waist line?,0,Twitter for iPhone,
